,FIPS,x,y,cluster
0,01001,10.653442,1.6591115,6
1,01003,11.115503,6.4042225,13
2,01005,17.557978,7.9531174,11
3,01007,0.56448066,7.641349,2
4,01009,0.0051509487,7.324141,2
5,01011,17.1063,7.4785013,11
6,01013,-1.883949,3.8751838,3
7,01015,-0.49062756,7.489497,2
8,01017,13.87569,8.258948,15
9,01019,7.111282,10.052137,5
10,01021,0.16624853,5.8378897,3
11,01023,14.04225,9.429053,15
12,01025,-1.897011,3.8606277,3
13,01027,12.616617,8.034421,13
14,01029,-1.2325422,4.715098,3
15,01031,12.985935,2.5346851,1
16,01033,-0.25858894,8.156323,2
17,01035,2.4728346,2.5789971,4
18,01037,7.0534945,10.2851925,5
19,01039,-0.5174013,7.964374,2
20,01041,-0.7135545,7.8547797,2
21,01043,12.674897,-0.07388833,6
22,01045,-0.25284767,7.010875,2
23,01047,15.478212,6.26285,12
24,01049,15.337614,5.817657,12
25,01051,1.243988,5.544857,3
26,01053,16.843307,7.2186494,11
27,01055,-0.44540334,7.491732,2
28,01057,13.427461,8.069771,15
29,01059,-1.0562623,4.7764,3
30,01061,-0.6380756,7.8899155,2
31,01063,2.4759288,2.57899,4
32,01065,-1.848036,3.9222798,3
33,01067,-0.38223556,8.001769,2
34,01069,-0.2202663,6.8122263,2
35,01071,-0.6395264,7.87224,2
36,01073,0.5689413,6.3904915,2
37,01075,-0.38967118,8.006922,2
38,01077,-0.20325436,8.2203045,2
39,01079,-0.5750403,7.660199,2
40,01081,11.066897,-0.58791906,6
41,01083,1.2519397,5.5413804,3
42,01085,-1.8836818,3.8776376,3
43,01087,-0.78109396,8.1472435,2
44,01089,-0.071395606,6.000099,3
45,01091,-1.9122099,3.8522313,3
46,01093,-0.6251199,7.9134283,2
47,01095,-0.59258217,5.0661736,3
48,01097,11.694152,3.790907,0
49,01099,13.133081,8.433686,15
50,01101,11.708086,3.7756891,0
51,01103,0.028900785,7.1235857,2
52,01105,14.453418,8.874881,15
53,01107,-0.55538666,7.6958537,2
54,01109,14.42117,3.1891873,1
55,01111,-0.60796356,7.907909,2
56,01113,11.699993,-0.25920472,6
57,01115,9.589589,0.846335,10
58,01117,1.0642575,5.503717,3
59,01119,-1.8095185,3.9583068,3
60,01121,-0.51229215,7.6385155,2
61,01123,-3.0748577,13.271015,2
62,01125,-0.074500926,5.971235,3
63,01127,11.257122,6.1837335,13
64,01129,-0.64109915,7.909938,2
65,01131,-1.8450308,3.925592,3
66,01133,-3.074848,13.271016,2
67,02013,18.9305,8.880479,11
68,02016,18.930662,8.879292,11
69,02020,14.571533,-0.31678817,1
70,02050,14.08697,0.705657,1
71,02060,5.971309,1.466161,4
72,02070,14.13101,0.62885284,1
73,02090,14.598571,-0.30143332,1
74,02100,7.548739,9.883598,5
75,02110,13.645799,1.2035568,1
76,02122,13.741751,1.0662128,1
77,02130,11.834407,-2.1733522,18
