,FIPS,x,y,cluster
0,01001,6.618431,-3.5003014,2
1,01003,6.954882,4.565445,17
2,01005,7.346765,8.717589,1
3,01007,5.629348,1.00925,15
4,01009,6.448436,1.4666075,15
5,01011,8.17642,8.795293,1
6,01013,11.708668,3.1308413,18
7,01015,7.613131,3.3421109,15
8,01017,10.929839,5.5989556,10
9,01019,11.476481,5.709062,10
10,01021,8.799135,1.6056902,13
11,01023,12.209446,3.404755,18
12,01025,11.877759,3.160327,18
13,01027,12.782529,4.125435,7
14,01029,9.461965,2.8950305,13
15,01031,6.409889,1.5638344,15
16,01033,8.003593,4.4177327,17
17,01035,12.262581,3.421068,18
18,01037,16.322977,1.8866965,3
19,01039,10.788309,4.546155,10
20,01041,9.05854,3.0832953,13
21,01043,10.405041,-1.0578812,8
22,01045,7.1518345,3.412517,15
23,01047,10.095413,1.9221522,13
24,01049,9.114653,1.8289404,13
25,01051,5.349183,-3.6578455,2
26,01053,8.045329,8.729291,1
27,01055,7.596997,3.4453678,15
28,01057,10.634173,4.6373663,10
29,01059,9.035228,1.7892405,13
30,01061,10.708108,4.5198655,10
31,01063,9.361908,5.0789275,10
32,01065,11.4285555,2.7935631,18
33,01067,16.608736,3.2972724,3
34,01069,6.747884,2.1124637,15
35,01071,9.741227,4.133349,10
36,01073,5.773416,2.3595884,15
37,01075,13.132011,4.315255,7
38,01077,6.464267,4.968837,17
39,01079,8.191157,3.1301386,15
40,01081,13.607189,7.1564083,7
41,01083,5.033564,-3.4915247,2
42,01085,11.696568,3.1167433,18
43,01087,13.410968,4.38982,7
44,01089,5.444955,2.0520942,15
45,01091,11.911571,3.1230776,18
46,01093,10.656681,4.611083,10
47,01095,8.269505,0.36801162,11
48,01097,3.3018718,-0.5044481,0
49,01099,11.987524,3.0296104,18
50,01101,3.3230731,-0.47980505,0
51,01103,6.4190807,1.6101788,15
52,01105,11.451046,2.5823364,18
53,01107,10.166996,4.78872,10
54,01109,7.0524197,2.9180756,15
55,01111,10.587045,4.7499814,10
56,01113,7.9244413,1.9075707,15
57,01115,5.573536,-1.9709111,4
58,01117,5.2627993,-3.212378,2
59,01119,11.425632,2.6806576,18
60,01121,7.6340647,3.1023312,15
61,01123,11.025682,5.635226,10
62,01125,13.98131,7.50016,7
63,01127,7.5531197,3.6771626,17
64,01129,9.709497,4.4782596,10
65,01131,11.158336,2.513836,18
66,01133,11.163101,5.698723,10
67,02013,8.146915,11.239799,1
68,02016,8.148813,11.244775,1
69,02020,5.895916,-3.2493367,4
70,02050,6.459602,-2.9837136,4
71,02060,18.067036,-0.7856369,3
72,02070,6.544337,-3.0384345,4
73,02090,5.892977,-3.0732052,4
74,02100,16.058481,2.6499557,3
75,02110,6.090784,-2.4781368,4
76,02122,6.2213397,-2.5779598,4
77,02130,2.7735856,-2.69966,5
78,02150,5.903575,-3.148138,4
79,02164,6.3715706,-2.8705225,4
80,02170,5.8762155,-2.6920218,4
81,02180,6.457898,-2.9764264,4
82,02185,5.8801103,-2.7037835,4
83,02188,6.4584355,-2.9814386,4
84,02220,6.1334553,-2.4058826,4
85,02240,6.2828426,-2.7225804,4
86,02261,6.2807975,-2.742132,4
87,02282,13.626342,-0.30235502,6
88,02290,6.306267,-2.7901528,4
89,04001,9.093451,0.17802116,11
90,04003,6.119718,0.22434871,11
91,04005,6.4621434,-6.378233,2
92,04007,13.939428,0.66103125,6
93,04009,5.4592123,-4.6092877,2
94,04011,7.363486,-2.8903613,4
95,04012,18.532951,-0.01272901,3
96,04013,0.6149127,-2.587484,5
97,04015,4.5041,8.152267,1
98,04017,9.063849,0.14508869,11
99,04019,3.0951538,0.37642366,0
100,04021,6.256913,-0.19750959,11
101,04023,9.549008,0.94044846,13
102,04025,4.504789,8.1520195,1
103,04027,7.679541,-3.4507186,4
104,05001,9.239773,3.2678256,13
105,05003,10.808515,4.550563,10
106,05005,17.600933,-0.085699484,3
107,05007,4.274065,-4.732357,2
108,05009,11.522192,-0.99174154,8
109,05011,10.673175,4.7976217,10
110,05013,11.813947,5.3352,10
111,05015,10.296708,5.117807,10
112,05017,11.387832,2.5529437,18
113,05019,7.342381,2.9074624,15
114,05021,9.39317,5.1884747,10
115,05023,15.8455,1.1530348,12
116,05025,9.490515,5.360379,10
117,05027,7.599893,2.891127,15
118,05029,9.228818,2.9001372,13
119,05031,3.8834116,-1.6457113,0
120,05033,8.278389,0.35425696,11
121,05035,3.3356414,-0.50510603,0
122,05037,8.923182,2.6802926,13
123,05039,13.446843,2.4380558,14
124,05041,11.45955,3.0000455,18
125,05043,7.4563956,2.95011,15
126,05045,13.590753,7.1550846,7
127,05047,8.758525,2.8675404,15
128,05049,17.477938,0.039054077,3
129,05051,11.120178,5.61443,10
130,05053,6.568788,1.5526094,15
131,05055,8.076386,0.63176066,11
132,05057,9.178026,1.755552,13
133,05059,6.981797,3.7658024,17
134,05061,9.165838,2.4329207,13
135,05063,8.1144085,-0.17366861,11
136,05065,16.33551,1.8667443,3
137,05067,10.173046,4.791378,10
138,05069,9.1609535,4.079373,10
139,05071,9.159847,1.284488,13
140,05073,13.560475,2.297858,14
141,05075,10.601926,3.9556067,18
142,05077,7.3456626,8.876226,1
143,05079,8.015852,11.106863,1
144,05081,10.909369,4.506309,10
145,05083,9.344577,3.1068969,13
146,05085,4.913566,-4.8426623,2
147,05087,8.9970875,1.4825612,13
148,05089,17.469172,0.046923403,3
149,05091,3.4420369,-0.15567935,0
150,05093,9.6181135,1.9484026,13
151,05095,13.540458,2.31644,14
152,05097,16.288897,1.7262732,3
153,05099,10.663981,4.776375,10
154,05101,15.909924,1.3182286,12
155,05103,12.03805,2.9756982,18
156,05105,9.818759,2.708717,13
157,05107,10.073254,1.7714924,13
158,05109,9.4423685,5.3373284,10
159,05111,9.169177,1.841379,13
160,05113,10.866341,4.446646,10
161,05115,6.319943,1.8688296,15
162,05117,9.744391,5.490283,10
163,05119,5.7671247,2.343015,15
164,05121,9.981603,3.0565903,18
165,05123,8.125569,8.854282,1
166,05125,5.207828,-2.9153202,2
167,05127,10.489688,3.1076508,18
168,05129,13.678619,1.9517356,14
169,05131,3.2524574,0.41129413,0
170,05133,8.0493355,-3.3294647,4
171,05135,14.614334,1.1657099,6
172,05137,17.37461,0.13262314,3
173,05139,9.104777,2.9842138,13
174,05141,15.876527,1.2983042,12
175,05143,3.6584017,-1.6920403,0
176,05145,7.4600167,2.5258827,15
177,05147,13.48494,2.3439634,14
178,05149,8.973063,1.3487115,13
179,06001,0.26428518,-1.4345348,5
180,06003,18.846825,1.3674142,3
181,06005,14.105054,5.0459485,7
182,06007,2.7723112,0.3627846,0
183,06009,16.992493,-0.2638282,3
184,06011,7.6033335,-3.4879563,4
185,06013,1.6445591,-0.6974448,5
186,06015,7.80858,10.302521,1
187,06017,2.325485,-0.025533354,0
188,06019,17.658983,6.32327,16
189,06021,7.5788918,-3.4922264,4
190,06023,2.9245484,0.79707015,0
191,06025,7.6780405,-3.4628263,4
192,06027,14.042858,6.1322026,7
193,06029,17.658913,6.323231,16
194,06031,3.6251922,-1.3010254,0
195,06033,11.121283,5.6124253,10
196,06035,8.069636,11.163706,1
197,06037,0.5756484,-2.5252638,5
198,06039,17.65768,6.322099,16
199,06041,0.6073692,-1.3897524,5
