,FIPS,x,y
0,01001,2.3370123,-1.0332183
1,01003,-2.6887379,0.2704921
2,01005,-1.5806676,-8.696391
3,01007,-2.820567,-8.983613
4,01009,1.1333064,0.31814864
5,01011,-9.9955845,6.9066887
6,01013,-6.3017955,-2.087546
7,01015,-0.22222939,2.3395407
8,01017,-6.93829,-1.1178044
9,01019,-7.155787,0.73496187
10,01021,2.679092,0.50735587
11,01023,-5.8993316,-1.2916089
12,01025,-6.07239,-2.1776922
13,01027,-6.9208994,-1.0989311
14,01029,1.8616208,1.2077794
15,01031,1.4438772,-0.06590866
16,01033,-2.6608522,-1.6165422
17,01035,-7.185045,0.053262595
18,01037,-6.2959857,1.3944103
19,01039,-6.081321,-1.3449373
20,01041,0.29647118,3.2949028
21,01043,0.06917245,-0.004977276
22,01045,0.15840092,-0.115452915
23,01047,0.78806925,5.8937755
24,01049,1.093331,3.996719
25,01051,8.355138,-1.6968995
26,01053,-1.8425492,-8.41378
27,01055,-0.23447287,2.3180034
28,01057,-6.880388,-1.063765
29,01059,1.1265268,3.9850972
30,01061,-6.305225,-1.467204
31,01063,-7.284428,0.26709297
32,01065,-6.3487945,-2.0606153
33,01067,-5.613789,-0.96069586
34,01069,2.141368,0.048430417
35,01071,-4.1704297,-1.6012636
36,01073,12.667647,5.964776
37,01075,-5.749048,-0.7967379
38,01077,-2.7643156,-1.5569257
39,01079,-0.2552198,2.4492908
40,01081,9.139694,-2.1410131
41,01083,8.1566725,-1.727977
42,01085,-6.2948833,-2.0977
43,01087,-6.808624,-1.9713011
44,01089,8.388614,-1.7728978
45,01091,-6.5381985,-1.8850266
46,01093,-6.0429063,-1.3373253
47,01095,3.145811,-1.16228
48,01097,4.490596,1.164103
49,01099,-5.9780593,-2.2019324
50,01101,4.4053965,1.138456
51,01103,1.4129791,-0.09474198
52,01105,-0.2794473,5.3289075
53,01107,-3.7676444,-2.801754
54,01109,9.668854,-2.232568
55,01111,-6.8559146,-1.126214
56,01113,4.71487,1.2195857
57,01115,5.5824428,-0.90727425
58,01117,8.073993,0.4940799
59,01119,-0.28949377,5.3233004
60,01121,-0.18636505,2.3778155
61,01123,-5.3427844,-0.9563207
62,01125,9.246606,-2.0693243
63,01127,-0.15284514,0.8202459
64,01129,-3.9299638,-2.1374018
65,01131,-0.3356335,5.0663466
66,01133,-5.487018,-0.84647065
67,02013,-1.1514424,-9.874158
68,02016,-1.1072894,-9.913083
69,02020,5.3475933,5.413627
70,02050,2.9004087,-6.6767025
71,02060,8.542192,-7.4948835
72,02068,8.565026,-7.4640303
73,02070,2.9146354,-6.652189
74,02090,-2.133516,3.1547546
75,02100,-3.3779442,0.22134608
76,02105,-7.4447865,5.234881
77,02110,8.00993,-1.8105404
78,02122,-2.1825788,2.7991655
79,02130,6.403567,1.70964
80,02150,-2.1323156,3.154772
81,02164,2.9105248,-6.659767
82,02170,-2.1558466,3.1471753
83,02180,2.9050677,-6.6690326
84,02185,-2.1614358,3.144252
85,02188,2.899767,-6.677286
86,02195,-3.139052,0.71271724
87,02198,-0.61347795,-0.5127633
88,02220,7.9738984,-1.8893383
89,02230,8.676725,-7.3439026
90,02240,-2.169831,2.9511847
91,02261,-2.16405,3.0464258
92,02275,-3.2230513,0.7507511
93,02282,-7.434163,5.1671734
94,02290,-2.1562393,3.1159835
95,04001,0.79255944,5.5283217
96,04003,-0.8859063,-0.7135502
97,04005,8.649132,-1.7538128
98,04007,-7.0610404,2.0300848
99,04009,3.63633,-2.852873
100,04011,4.7389073,-2.161405
101,04012,2.0801528,-8.3787775
102,04013,2.889209,-4.4843736
103,04015,5.818321,8.361249
104,04017,0.76452094,5.4220457
105,04019,4.0014677,2.8304334
106,04021,-1.1005192,-3.3535676
107,04023,3.2997656,-1.183709
108,04025,5.8218856,8.364871
109,04027,-3.7125301,-2.0442452
110,05001,-5.485362,0.5220905
111,05003,-6.45679,-1.3695438
112,05005,-7.978723,2.3829267
113,05007,7.716579,-0.41215116
114,05009,-4.095904,4.2182417
115,05011,-7.0942407,-0.14210382
116,05013,-3.273481,-2.469813
117,05015,-5.966906,-0.6171902
118,05017,-0.36733133,5.0048356
119,05019,-3.3877811,-2.7012093
120,05021,-6.880118,-1.0009708
121,05023,-7.4871397,1.5682774
122,05025,-4.1843433,-1.5354831
123,05027,-3.5704184,-2.7026885
124,05029,-4.017103,-1.7635846
125,05031,5.738797,0.7728609
126,05033,3.0560782,-1.1474394
127,05035,4.396869,1.2066655
128,05037,0.34746802,3.2729282
129,05039,-7.1566606,0.6513661
130,05041,-5.6072526,-0.10096158
131,05043,-3.629589,-2.699283
132,05045,3.8646524,-0.74205005
133,05047,0.05382652,1.878632
134,05049,-7.8429227,2.1623704
135,05051,-5.7033405,-1.3018771
136,05053,1.4152061,-0.0868196
137,05055,3.2573404,-0.8732644
138,05057,0.65064764,-4.393009
139,05059,0.19394396,-0.09011232
140,05061,0.66555357,-4.38609
141,05063,2.8859863,-0.97233856
142,05065,-6.1945553,1.4154074
143,05067,-3.7526224,-2.8371925
144,05069,0.09173755,2.577962
145,05071,0.81825584,4.1633897
146,05073,-7.3038406,0.7946379
147,05075,-4.1549544,-1.6313459
148,05077,-1.6896423,-9.017568
149,05079,-1.3320216,-9.729547
150,05081,-0.5706431,0.9612415
151,05083,-4.1332507,-1.5963384
152,05085,7.3268075,-0.45513892
153,05087,1.9001775,1.1470942
154,05089,-7.8844595,2.2324085
155,05091,4.65814,1.2505734
156,05093,1.1861472,4.296895
157,05095,-7.263577,0.24460074
158,05097,-7.38283,1.4492847
159,05099,-6.873939,-0.9044175
160,05101,-7.6722116,1.707903
161,05103,-6.5660686,-1.8145896
162,05105,-0.099265255,0.49139848
163,05107,0.83118963,5.9160495
164,05109,-5.7398157,-0.8272804
165,05111,0.95753056,4.1363935
166,05113,-6.406589,-0.64858145
167,05115,2.910119,-0.049069997
168,05117,-5.894645,-0.3987449
169,05119,12.667613,5.964779
170,05121,0.056243423,1.0083743
171,05123,-9.9905815,6.915187
172,05125,6.191745,-1.0899857
173,05127,-4.882037,-2.525363
174,05129,-7.3952227,0.7790567
175,05131,4.6995916,1.3363448
176,05133,3.8550167,-3.2941773
177,05135,-7.848253,2.0959272
178,05137,-7.8453007,2.1760457
179,05139,0.43691766,2.0657349
180,05141,-7.6095963,1.6259872
181,05143,5.9650073,1.0183606
182,05145,3.0259614,0.05039922
183,05147,-7.2568517,0.27376932
184,05149,1.2051744,3.8931384
185,06001,8.551763,-1.0824474
186,06003,-8.516058,6.3156905
187,06005,-4.4737306,0.7039981
188,06007,4.0146523,2.5932193
189,06009,-7.869638,3.4395344
190,06011,-10.850028,-0.697711
191,06013,6.562874,4.1120286
192,06015,-2.6223645,-5.1126413
193,06017,-1.4635311,0.62693137
194,06019,3.031347,-6.474227
195,06021,-10.868415,-0.75160336
196,06023,4.0577693,2.476247
197,06025,-3.6976073,-2.0450957
198,06027,-5.1867814,2.0398402
199,06029,2.9894114,-6.5125756
200,06031,2.7929876,-4.433465
201,06033,-5.6377673,-0.90898174
202,06035,-1.1032544,-9.920214
203,06037,6.9411745,2.9729052
204,06039,7.2161603,-0.42070037
205,06041,6.5888033,4.065084
206,06043,-7.864455,3.4244094
207,06045,3.9180508,2.5401313
208,06047,3.0298784,-6.4758816
209,06049,-6.6100135,1.8926952
210,06051,8.547343,-7.4900775
211,06053,2.6979852,-4.3802676
212,06055,6.0740666,3.1165001
213,06057,-8.042621,3.5791364
214,06059,6.7612767,3.0397947
215,06061,7.6171427,1.4647828
216,06063,-7.7574735,5.6286077
217,06065,2.896115,-4.497552
218,06067,6.1888328,1.369252
219,06069,8.165098,-0.4517653
220,06071,2.8860884,-4.485542
221,06073,6.7438445,2.761889
222,06075,10.291707,-2.4648745
223,06077,2.8085878,-4.4382915
224,06079,6.0764966,3.225237
225,06081,6.9685507,4.417307
226,06083,6.673845,2.7402627
227,06085,6.9667163,4.420598
228,06087,6.236111,4.370075
229,06089,3.9222279,2.5355587
230,06091,-7.7496333,5.6162477
231,06093,-6.630231,1.992427
232,06095,6.4008307,3.7704372
233,06097,6.035992,3.1904445
234,06099,2.7856925,-4.429495
235,06101,2.7446356,-4.4021454
236,06103,3.9226258,2.3752184
237,06105,-6.7513747,2.6041446
238,06107,3.02883,-6.477188
239,06109,-7.859037,3.4217424
240,06111,6.392776,3.7577674
241,06113,9.223936,-2.109698
242,06115,7.2051,-0.23665942
243,08001,-12.897617,6.4204903
244,08003,3.6497474,-0.59331775
245,08005,6.9835114,2.8105235
246,08007,-7.4196196,4.3633704
247,08009,-6.0010233,3.568541
248,08011,-1.2230171,-9.818684
249,08013,7.239259,2.9459624
250,08014,8.505597,-0.96058995
251,08015,-4.4320664,0.67738277
252,08017,0.76196164,-4.106291
