,FIPS,x,y
0,01001,5.0560875,-0.9741692
1,01003,2.3685267,-1.3154879
2,01005,8.549867,6.6934714
3,01007,7.6295214,5.067234
4,01009,3.3314066,-2.3806508
5,01011,8.904111,6.938877
6,01013,5.1686893,2.8794792
7,01015,4.235163,0.9872234
8,01017,3.9269829,1.476389
9,01019,2.3021183,2.4831553
10,01021,6.8999977,-0.69718516
11,01023,3.1899843,2.8405468
12,01025,5.2237635,2.8005047
13,01027,3.8757844,1.4183569
14,01029,5.4993796,-0.034203738
15,01031,3.3301418,-2.3759134
16,01033,4.4173098,0.8014217
17,01035,3.1138296,3.499698
18,01037,1.9395989,2.3581042
19,01039,3.4234903,2.371981
20,01041,6.830866,0.66594046
21,01043,-0.47837225,1.5257447
22,01045,-0.45797256,1.4692458
23,01047,-4.1578765,5.458301
24,01049,7.9889436,1.7614292
25,01051,7.855205,-3.9161139
26,01053,8.268845,5.7544684
27,01055,4.216535,0.98575
28,01057,3.7807066,2.8130093
29,01059,8.10143,1.7671709
30,01061,3.7851546,2.6277936
31,01063,2.9274898,3.4568586
32,01065,5.166687,2.8818817
33,01067,3.3698251,1.7288784
34,01069,5.7893596,-0.76359624
35,01071,4.6344666,1.6938787
36,01073,-0.9935602,4.9296412
37,01075,3.29489,1.6826395
38,01077,4.937636,0.31002453
39,01079,6.4805737,-0.042716634
40,01081,14.828297,1.7627102
41,01083,7.898635,-3.7912607
42,01085,5.2593684,2.8606288
43,01087,-3.6299388,5.1709285
44,01089,13.192447,-3.9527073
45,01091,4.430821,2.929674
46,01093,3.41562,2.3275824
47,01095,6.0112686,-2.4859047
48,01097,9.934315,-3.6096854
49,01099,5.2138753,2.784395
50,01101,9.956931,-3.648711
51,01103,3.3175497,-2.3774467
52,01105,-3.6619854,5.19049
53,01107,7.4798713,3.2393212
54,01109,14.900863,1.8466789
55,01111,3.631405,1.9450147
56,01113,9.706005,-3.5628083
57,01115,7.543076,-4.030205
58,01117,4.9067755,-8.937693
59,01119,-3.6440346,5.177032
60,01121,6.5892057,0.11345535
61,01123,3.5644286,1.900583
62,01125,14.7496605,1.6732793
63,01127,5.6099415,2.114715
64,01129,4.9950438,0.59285617
65,01131,-3.744718,5.2757864
66,01133,3.5044014,1.8564032
67,02013,10.076377,7.8791447
68,02016,10.076238,7.87891
69,02020,1.6628535,-8.392715
70,02050,18.42064,4.450295
71,02060,8.772341,4.0562744
72,02068,8.391138,4.1654496
73,02070,18.419605,4.4494505
74,02090,-0.12017318,-4.5846677
75,02100,0.7341629,4.5786624
76,02105,1.2580174,4.369227
77,02110,1.647697,-8.368743
78,02122,-0.05612217,-4.242433
79,02130,7.2303424,7.5876336
80,02150,-0.1214001,-4.5825205
81,02164,-0.17019132,-4.509919
82,02170,-0.13863455,-4.552114
83,02180,18.420353,4.4500628
84,02185,18.42065,4.450302
85,02188,18.420536,4.450222
86,02195,1.1889112,4.40666
87,02198,1.1650941,-2.5991464
88,02220,7.5825963,-3.583379
89,02230,0.8463023,4.5585976
90,02240,-0.14940493,-4.542628
91,02261,-0.15741244,-4.529336
92,02275,0.39896095,0.83639514
93,02282,1.2756374,4.436847
94,02290,18.420637,4.4502945
95,04001,-4.457494,5.084644
96,04003,-0.3279368,2.4369912
97,04005,-4.2898345,1.8585304
98,04007,0.28917322,3.1063607
99,04009,5.655965,-3.922128
100,04011,4.792389,-6.4329534
101,04012,0.1328816,3.718311
102,04013,-4.27682,1.8534123
103,04015,11.130676,6.771863
104,04017,-4.4569945,5.0702415
105,04019,7.958875,-5.8469224
106,04021,-0.060278002,-1.8272977
107,04023,7.1907988,1.6951923
108,04025,11.129348,6.7713404
109,04027,7.488738,-14.08753
110,05001,4.6129017,1.6093298
111,05003,3.7448637,2.4226143
112,05005,0.8364595,3.1449404
113,05007,11.982953,-4.0236254
114,05009,0.042213097,-2.185667
115,05011,6.6147857,1.9505248
116,05013,3.7024455,1.0066066
117,05015,2.541047,1.0556496
118,05017,3.2967498,3.6851714
119,05019,5.50345,-0.98118603
120,05021,3.6392338,2.9132926
121,05023,1.32591,3.449758
122,05025,4.3658414,0.1537295
123,05027,5.9756274,-0.18242054
124,05029,5.629397,0.26227605
125,05031,9.568739,-3.8680282
126,05033,5.8357654,-2.9875417
127,05035,9.953783,-3.6006818
128,05037,6.8191867,0.53684354
129,05039,2.5197742,2.7230392
130,05041,6.6492853,1.9442006
131,05043,6.39845,-0.17099428
132,05045,14.437687,0.100763455
133,05047,5.19947,1.9889581
134,05049,0.8341064,3.1301796
135,05051,3.1945841,2.4298213
136,05053,3.3218849,-2.3850694
137,05055,-1.3952535,4.498546
138,05057,7.7043705,0.5765588
139,05059,-0.65817446,1.5244663
140,05061,7.72053,0.5735299
141,05063,5.922018,-2.8582838
142,05065,1.755889,2.023259
143,05067,7.479874,3.2307482
144,05069,5.9735956,2.135579
145,05071,7.381586,0.99667525
146,05073,2.650931,2.9576437
147,05075,4.793106,1.7423968
148,05077,9.060009,7.064895
149,05079,10.015819,7.827944
150,05081,3.010851,-0.098292224
151,05083,4.8107,1.7651966
152,05085,10.208979,-5.1842713
153,05087,7.254939,0.6795682
154,05089,0.8460404,3.1450639
155,05091,9.737555,-3.556313
156,05093,7.3768897,1.6523124
157,05095,2.8014326,3.4745755
158,05097,1.3690149,3.148234
159,05099,3.5835927,3.006855
160,05101,1.3169503,3.4671614
161,05103,4.136336,2.939109
162,05105,3.9091346,-1.1522849
163,05107,-4.1796546,5.4576287
164,05109,3.3053918,1.7225012
165,05111,7.820699,1.7993629
166,05113,3.4835227,2.4265735
167,05115,7.2758193,-0.79841983
168,05117,2.5511196,2.6572447
169,05119,-0.9948352,4.935166
170,05121,5.3287,2.059321
171,05123,8.593337,6.6353946
172,05125,7.8206058,-4.2665877
173,05127,5.712548,1.2281078
174,05129,2.329333,3.408015
175,05131,9.596842,-3.7965796
176,05133,9.094884,1.8952398
177,05135,0.89814293,3.1779547
178,05137,0.8627033,3.1561747
179,05139,6.767249,0.3845611
